;article_number;count
0;7;9
1;5;9
2;12;6
3;8;5
4;9;3
5;11;3
6;24;2
7;30;2
8;3;2
9;22;2
10;13;2
11;12-c;2
12;17;2
13;6;1
14;32;1
15;26;1
16;14;1
17;01;1
18;41;1
19;16;1
20;29;1
21;1;1
