;article_number;count
0;2;8
1;5;8
2;10;7
3;4;7
4;9;5
5;1;5
6;7;5
7;8;4
8;19;3
9;6;2
10;16;2
11;22;2
12;21;1
13;2-;1
14;20;1
15;7o;1
16;3;1
17;17;1
18;4o;1
