;article_number;count
0;5;93
1;4;56
2;2;48
3;3;18
4;6;16
5;7;15
6;8;14
7;10;12
8;16;12
9;1;10
10;9;9
11;18;9
12;14;8
13;5o;6
14;22;6
15;17;5
16;19;4
17;33;3
18;12;3
19;15;3
20;24;3
21;5-a;3
22;25;2
23;20;2
24;6o;2
25;13;2
26;11;2
27;7o;1
28;9o;1
29;21;1
30;2-;1
31;4o;1
32;8o;1
33;28;1
34;31;1
35;32;1
