;article_number;count
0;5;78
1;4;48
2;2;37
3;3;16
4;6;16
5;7;14
6;8;14
7;10;11
8;16;10
9;1;8
10;14;8
11;18;7
12;9;7
13;17;5
14;22;5
15;5o;5
16;5-a;3
17;19;3
18;24;3
19;12;3
20;20;2
21;11;2
22;15;2
23;6o;2
24;8o;1
25;4o;1
26;2-;1
27;9o;1
28;21;1
29;7o;1
30;23;1
31;13;1
