;article_number;count
0;3;9
1;19;7
2;1;6
3;4;6
4;10;5
5;39;4
6;2;4
7;14;3
8;17;3
9;15;3
10;27;3
11;49;3
12;48;2
13;40;2
14;8;2
15;23;2
16;96;2
17;51;2
18;43;2
19;38;2
20;9;2
21;26;2
22;33;1
23;45;1
24;11;1
25;52;1
26;50;1
27;71;1
28;63;1
29;2o;1
30;44;1
31;65;1
32;28;1
33;97;1
34;35;1
35;7;1
36;34;1
37;74;1
38;8o;1
39;55;1
40;16;1
41;20;1
42;99;1
